unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11389517,JB361743,2018-07-17 19:00:00 UTC,119XX S AVENUE O,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,false,false,433,4,10,55,09,1200961.0,1826414.0,2018,2018-07-26 15:48:42 UTC,41.678442193,-87.540037144,"(41.678442193, -87.540037144)"
11363058,JB326968,2018-06-28 21:15:00 UTC,043XX S WENTWORTH AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,925,9,3,37,04A,1175650.0,1876440.0,2018,2018-07-05 15:55:39 UTC,41.816321863,-87.631189677,"(41.816321863, -87.631189677)"
11360867,JB324293,2018-06-26 23:36:00 UTC,090XX S ESSEX AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,false,true,423,4,7,48,04A,1194404.0,1845526.0,2018,2018-07-03 15:55:36 UTC,41.731050627,-87.563412259,"(41.731050627, -87.563412259)"
11357670,JB320108,2018-06-24 02:36:00 UTC,090XX S GREENWOOD AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,false,false,413,4,8,47,05,1185127.0,1845248.0,2018,2018-07-01 15:55:31 UTC,41.730510454,-87.597405459,"(41.730510454, -87.597405459)"
11338498,JB292875,2018-05-31 20:00:00 UTC,103XX S EWING AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,"SCHOOL, PUBLIC, BUILDING",false,false,432,4,10,52,17,1202162.0,1836953.0,2018,2018-06-08 15:49:10 UTC,41.707331718,-87.535283747,"(41.707331718, -87.535283747)"
11331496,JB285118,2018-05-23 17:20:00 UTC,039XX W PETERSON AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"SCHOOL, PUBLIC, BUILDING",false,false,1711,17,39,13,02,1149131.0,1939588.0,2018,2018-06-08 15:49:10 UTC,41.990159786,-87.726830225,"(41.990159786, -87.726830225)"
11285122,JB223667,2018-04-14 10:51:00 UTC,009XX E 133RD ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,533,5,9,54,26,1185354.0,1817293.0,2018,2018-05-04 15:51:04 UTC,41.653793003,-87.59744877,"(41.653793003, -87.59744877)"
11271139,JB205141,2018-03-30 11:13:00 UTC,033XX S ARCHER AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,true,false,912,9,11,59,26,1164159.0,1882475.0,2018,2018-05-04 15:51:04 UTC,41.83313249,-87.673171088,"(41.83313249, -87.673171088)"
11539254,JB558427,2018-03-15 12:00:00 UTC,059XX N NICKERSON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1612,16,41,10,11,1128321.0,1938935.0,2018,2018-12-21 16:03:36 UTC,41.988746782,-87.803389809,"(41.988746782, -87.803389809)"
11236120,JB159554,2018-02-20 10:45:00 UTC,002XX W 37TH PL,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,RESIDENCE,true,false,915,9,3,34,08A,1175154.0,1880097.0,2018,2018-05-04 15:51:04 UTC,41.826368102,-87.632899746,"(41.826368102, -87.632899746)"
