id,display_name,about_me,age,creation_date,last_access_date,location,reputation,up_votes,down_votes,views,profile_image_url,website_url
14074,smvlad,,,2008-09-16 21:54:00.253 UTC,2019-08-29 20:32:04.897 UTC,,243,110,1,83,,
15079,Jim In Texas,,,2008-09-17 05:46:30.197 UTC,2019-08-09 01:41:41.800 UTC,United States,991,368,40,365,,
17453,mlambie,"<p>I like Brazilian jiu jitsu, Xbox, coffee, Lego, comics, knitting, cycling, helicopters, skateboarding and skydiving.</p>",,2008-09-18 09:26:03.840 UTC,2019-08-31 04:22:28.610 UTC,Singapore,5631,182,11,312,https://i.stack.imgur.com/FfhA9.jpg,http://lambie.org
18456,Craig Quillen,"Pretty good .Net developer that was raised on C, C++, and Java",,2008-09-19 02:13:33.513 UTC,2019-08-26 21:37:33.230 UTC,United States,1217,17,0,129,,
18695,user18695,,,2008-09-19 09:42:20.500 UTC,2009-08-12 06:04:40.750 UTC,United States,215,1,0,31,,
19392,Micke,,,2008-09-19 23:25:24.913 UTC,2019-08-29 16:37:04.820 UTC,,1542,138,8,86,,
19502,David Leonard,"<p>Unix. From VMS's DCL to Haskell, it's all good, but C still wins.</p>",,2008-09-20 05:39:01.880 UTC,2017-05-27 02:05:10.760 UTC,"Brisbane, Australia",1586,22,1,173,,http://adaptive-enterprises.com.au/~d/
20300,ken,,,2008-09-22 08:49:14.213 UTC,2019-08-13 14:49:26.137 UTC,"Taguig, Philippines",1903,31,0,174,,http://mumbhaki.x10hosting.com
20472,assortedslog,,,2008-09-22 14:22:55.083 UTC,2017-10-17 14:16:17.307 UTC,,121,14,0,20,,
21244,Pretzel,"<p>Pretzel is a bit Twisted and sometimes a little Salty; He always goes great with beer!</p>

<p><strong>Quote of the Moment:</strong> </p>

<p><em>Physicists stand on each others’ shoulders while computer scientists stand on each others' toes.</em>  </p>

<p>(Sad, but often true.)</p>",,2008-09-23 16:53:03.950 UTC,2019-08-29 19:03:14.440 UTC,"Pretzeltown, USA",4255,894,41,637,,https://pretzellogix.net
23008,Mike Sutton,,,2008-09-27 16:13:51.410 UTC,2018-06-29 12:41:15.747 UTC,"Southampton, United Kingdom",3448,145,10,426,,http://solentsoftware.com
23060,Rob Allen,"<p>Author of a popular <a href=""http://akrabat.com/zend-framework-2-tutorial"" rel=""nofollow noreferrer"">Zend Framework Tutorial</a> (<a href=""http://akrabat.com/zend-framework-2-tutorial/"" rel=""nofollow noreferrer"">ZF2 version</a>) &amp; the book Zend Framework in Action. Also a member of the <a href=""https://github.com/slimphp/Slim"" rel=""nofollow noreferrer"">Slim framework</a> development team.</p>

<p>Can be found on IRC (Freenode) or Twitter under the username akrabat.</p>",,2008-09-27 20:56:40.310 UTC,2019-08-31 15:34:37.217 UTC,United Kingdom,11857,115,27,2103,,http://akrabat.com
23935,gfrizzle,"<p>C#, VB, ASP.NET, MVC, LINQ, HTML, jQuery, CSS, WCF, etc.</p>

<p>I know PowerBuilder too, but with luck I'll never have to go back...</p>

<p>#SOreadytohelp</p>",,2008-09-30 20:52:31.917 UTC,2019-04-22 15:27:41.107 UTC,"Scarborough, ME",6641,197,2,608,,http://gplus.to/gfrizzle
24520,Mark Zeren,,,2008-10-02 14:53:23.823 UTC,2013-04-01 17:17:26.550 UTC,,38,34,0,107,,
