id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
832,true,51.464019,false,-0.11578197,"Ferndale Road, Brixton",0,0,0,false,200240,2018-02-07,
250,true,51.489932,false,-0.162727,"Royal Avenue 1, Chelsea",0,10,10,false,3440,2010-07-20,
404,true,51.50204238,false,-0.184400221,"Palace Gate, Kensington Gardens",0,13,13,false,1110,2011-03-09,
315,true,51.52536703,false,-0.153463612,"The Tennis Courts, The Regent's Park",0,16,14,false,1199,2010-07-23,
386,true,51.51352755,false,-0.130110822,"Moor Street, Soho",0,16,14,false,3504,2011-02-03,
646,true,51.49886563,false,-0.137424571,"Buckingham Gate, Westminster",0,16,14,false,200178,2013-10-18,
192,true,51.51251523,false,-0.133201961,"Wardour Street, Soho",0,16,15,false,1163,2010-07-17,
382,true,51.50935171,false,-0.14744969,"Farm Street, Mayfair",0,15,15,false,2678,2011-02-08,
395,true,51.492462,false,-0.159919,"Cadogan Gardens, Chelsea",0,15,15,false,2695,2011-02-28,
403,true,51.51689296,false,-0.158249929,"George Place Mews, Marylebone",0,16,15,false,10630,2011-03-08,
405,true,51.49418566,false,-0.18267094,"Gloucester Road Station, South Kensington",0,15,15,false,1107,2011-03-09,
23,true,51.51943538,false,-0.119123345,"Red Lion Square, Holborn",0,16,16,false,3421,2010-07-06,
43,true,51.52026,false,-0.157183945,"Crawford Street, Marylebone",0,18,16,false,1036,2010-07-09,
49,true,51.50706909,false,-0.145904427,"Curzon Street, Mayfair",0,16,16,false,3437,2010-07-10,
79,true,51.511726,false,-0.11385596,"Arundel Street, Temple",0,18,16,false,3455,2017-10-26,
