sid,season,number,basin,subbasin,name,iso_time,nature,latitude,longitude,wmo_wind,wmo_pressure,wmo_agency,track_type,dist2land,landfall,iflag,usa_agency,usa_latitude,usa_longitude,usa_record,usa_status,usa_wind,usa_pressure,usa_sshs,usa_r34_ne,usa_r34_se,usa_r34_sw,usa_r34_nw,usa_r50_ne,usa_r50_se,usa_r50_sw,usa_r50_nw,usa_r64_ne,usa_r64_se,usa_r64_sw,usa_r64_nw,usa_poci,usa_roci,usa_rmw,usa_eye,tokyo_latitude,tokyo_longitude,tokyo_grade,tokyo_wind,tokyo_pressure,tokyo_r50_dir,tokyo_r50_longitude,tokyo_r50_short,tokyo_r30_dir,tokyo_r30_long,tokyo_r30_short,tokyo_land,cma_latitude,cma_longitude,cma_cat,cma_wind,cma_pressure,hko_latitude,hko_longitude,hko_cat,hko_wind,hko_pressure,newdelhi_latitude,newdelhi_longitude,newdelhi_grade,newdelhi_wind,newdelhi_pressure,newdelhi_ci,newdelhi_dp,newdelhi_poci,reunion_latitude,reunion_longitude,reunion_type,reunion_wind,reunion_pressure,reunion_tnum,reunion_ci,reunion_rmw,reunion_r34_ne,reunion_r34_se,reunion_r34_sw,reunion_r34_nw,reunion_r50_ne,reunion_r50_se,reunion_r50_sw,reunion_r50_nw,reunion_r64_ne,reunion_r64_se,reunion_r64_sw,reunion_r64_nw,bom_latitude,bom_longitude,bom_type,bom_wind,bom_pressure,bom_tnum,bom_ci,bom_rmw,bom_r34_ne,bom_r34_se,bom_r34_sw,bom_r34_nw,bom_r50_ne,bom_r50_se,bom_r50_sw,bom_r50_nw,bom_r64_ne,bom_r64_se,bom_r64_sw,bom_r64_nw,bom_roci,bom_poci,bom_eye,bom_pos_method,bom_pressure_method,wellington_latitude,wellington_longitude,wellington_wind,wellington_pressure,nadi_latitude,nadi_longitude,nadi_cat,nadi_wind,nadi_pressure,ds824_latitude,ds824_longitude,ds824_stage,ds824_wind,ds824_pressure,td9636_latitude,td9636_longitude,td9636_stage,td9636_wind,td9636_pressure,td9635_latitude,td9635_longitude,td9635_wind,td9635_pressure,td9635_roci,neumann_latitude,neumann_longitude,neumann_class,neumann_wind,neumann_pressure,mlc_latitude,mlc_longitude,mlc_class,mlc_wind,mlc_pressure,usa_atcf_id
1996090N04150,1996,26,WP,MM,ANN,1996-04-02 21:00:00 UTC,TS,9.82364,142.804,,," ",main,1375,1375,IPP___________," ",,," "," ",31,,-1,,,,,,,,,,,,,,,," ",10.2047,142.757,2,,1002,0,,,0,,,,9.44254,142.85,1,29,1000," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1996090N04150,1996,26,WP,MM,ANN,1996-04-02 15:00:00 UTC,TS,9.65637,143.505,,," ",main,1366,1366,IPP___________," ",,," "," ",32,,-1,,,,,,,,,,,,,,,," ",9.96279,143.537,2,,1002,0,,,0,,,,9.34996,143.472,1,29,1000," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1972102S11140,1972,33,SP,EA,FAITH,1972-04-19 12:00:00 UTC,TS,-11.5871,149.252,,," ",main,129,129,I_____P_OOP_O_,jtwc_sh,-11.6,149.2," "," ",5,,-1,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,-11.6,149.233,,,991,,,,,,,,,,,,,,,,,,,,,-11.5,149.2,40,990,,,,,,-11.6,149.2,TC,45,992,-11.6095,149.233,1,3,,,,,,,-11.6,149.5,TC,45,992,,," ",,,SH281972
1972102S11140,1972,33,SP,EA,FAITH,1972-04-20 00:00:00 UTC,TS,-11.7148,148.538,,," ",main,166,166,I_____P_OOP_O_,jtwc_sh,-11.7,148.4," "," ",5,,-1,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,-11.7,148.433,,,992,,,,,,,,,,,,,,,,,,,,,-11.8,149.0,40,990,,,,,,-11.7,148.4,TC,45,992,-11.7033,148.432,1,2,,,,,,,-11.7,148.7,TC,45,992,,," ",,,SH281972
1972102S11140,1972,33,SP,EA,FAITH,1972-04-19 18:00:00 UTC,TS,-11.6517,148.897,,," ",main,157,157,I_____P_POP_O_,jtwc_sh,-11.7,148.8," "," ",5,,-1,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,-11.6309,148.833,,,990,,,,,,,,,,,,,,,,,,,,,-11.6648,149.115,40,990,,,,,,-11.6,148.8,TC,45,990,-11.6662,148.833,1,2,,,,,,,-11.6,149.1,TC,45,992,,," ",,,SH281972
1972102S11140,1972,33,SP,EA,FAITH,1972-04-19 06:00:00 UTC,TS,-11.5552,149.643,,," ",main,116,116,I_____P_POP_O_,jtwc_sh,-11.6,149.6," "," ",5,,-1,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,-11.6079,149.633,,,990,,,,,,,,,,,,,,,,,,,,,-11.32,149.54,40,990,,,,,,-11.6,149.6,TC,45,990,-11.5583,149.627,1,4,,,,,,,-11.6,149.9,TC,45,991,,," ",,,SH281972
2018314S06091,2019,85,SI,MM,BOUCHRA,2018-11-17 00:00:00 UTC,NR,-10.7634,89.275,,," ",PROVISIONAL,1471,1471,I_____________,tcvitals,-10.7634,89.275," "," ",28,1005,-1,67,62,48,98,,,,,,,,,1008,211,53," ",,,,,,,,,,,,,,,,,," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,SI042018
2018084S15159,2018,18,SP,EA,IRIS,2018-03-26 06:00:00 UTC,NR,-17.4187,157.975,,," ",PROVISIONAL,709,689,I_____________,tcvitals,-17.4187,157.975," "," ",35,1000,0,112,95,63,83,,,,,,,,,1006,270,57," ",,,,,,,,,,,,,,,,,," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,SP172018
2018197N19128,2018,40,WP,MM,SON-TINH,2018-07-19 06:00:00 UTC,NR,19.428,103.681,,," ",PROVISIONAL,0,0,I_____________,tcvitals,19.428,103.681," "," ",34,995,0,,66,55,,,,,,,,,,1001,207,37," ",,,,,,,,,,,,,,,,,," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP112018
2019001N07111,2019,1,WP,MM,PABUK,2019-01-04 00:00:00 UTC,NR,7.81239,101.85,,," ",PROVISIONAL,116,101,I_____________,tcvightals,7.81239,101.85," "," ",45,993,0,95,75,52,92,,,,,,,,,1010,170,37," ",,,,,,,,,,,,,,,,,," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP362018
